id,region_cd,name,lat,lng,seq,police,office,group_id,arrow_configs,controller,diagram_order,weekly_plan,created_at,updated_at,api_int_no
"L02-1107","L02","운서역주차장3","37.493725","126.492772","1107","","","","{}","","-1","1;1;1;1;1;2;3","2026-06-23T22:43:07.334182+00:00","2026-06-23T22:43:05.98+00:00","null"
"L02-1108","L02","운서2교3거리","37.494994","126.493751","1108","","","","{}","","-1","1;1;1;1;1;2;3","2026-06-23T22:43:07.334182+00:00","2026-06-23T22:43:05.98+00:00","null"
"L02-1109","L02","흰바위3거리","37.491872","126.49146","1109","","","","{}","","-1","1;1;1;1;1;2;3","2026-06-23T22:43:07.334182+00:00","2026-06-23T22:43:05.98+00:00","null"
"L02-1110","L02","공댕이입구3","37.432875","126.425955","1110","","","","{}","","-1","1;1;1;1;1;2;3","2026-06-23T22:43:07.334182+00:00","2026-06-23T22:43:05.98+00:00","null"
"L02-1111","L02","공항버스차고4","37.431591","126.426117","1111","","","","{}","","-1","1;1;1;1;1;2;3","2026-06-23T22:43:07.334182+00:00","2026-06-23T22:43:05.98+00:00","null"
"L02-1112","L02","공항철도기지4","37.427639","126.423125","1112","","","","{}","","-1","1;1;1;1;1;2;3","2026-06-23T22:43:07.334182+00:00","2026-06-23T22:43:05.98+00:00","null"
"L02-1113","L02","거잠포입구3","37.425977","126.422748","1113","","","","{}","","-1","1;1;1;1;1;2;3","2026-06-23T22:43:07.334182+00:00","2026-06-23T22:43:05.98+00:00","null"
"L02-1114","L02","잠진도입구3","37.423665","126.425201","1114","","","","{}","","-1","1;1;1;1;1;2;3","2026-06-23T22:43:07.334182+00:00","2026-06-23T22:43:05.98+00:00","null"
"L02-1115","L02","늙목4","37.452788","126.391379","1115","","","","{}","","-1","1;1;1;1;1;2;3","2026-06-23T22:43:07.334182+00:00","2026-06-23T22:43:05.98+00:00","null"
"L02-1116","L02","약수3","37.447767","126.388648","1116","","","","{}","","-1","1;1;1;1;1;2;3","2026-06-23T22:43:07.334182+00:00","2026-06-23T22:43:05.98+00:00","null"
"L02-1117","L02","늙목염전","37.447375","126.397452","1117","","","","{}","","-1","1;1;1;1;1;2;3","2026-06-23T22:43:07.334182+00:00","2026-06-23T22:43:05.98+00:00","null"
"L02-1118","L02","신설동입구","37.445614","126.400955","1118","","","","{}","","-1","1;1;1;1;1;2;3","2026-06-23T22:43:07.334182+00:00","2026-06-23T22:43:05.98+00:00","null"
"L02-1119","L02","용유파출소","37.444002","126.403398","1119","","","","{}","","-1","1;1;1;1;1;2;3","2026-06-23T22:43:07.334182+00:00","2026-06-23T22:43:05.98+00:00","null"
"L02-1120","L02","관청말입구","37.442611","126.40577","1120","","","","{}","","-1","1;1;1;1;1;2;3","2026-06-23T22:43:07.334182+00:00","2026-06-23T22:43:05.98+00:00","null"
"L02-1121","L02","용유3거리","37.446669","126.411034","1121","","","","{}","","-1","1;1;1;1;1;2;3","2026-06-23T22:43:07.334182+00:00","2026-06-23T22:43:05.98+00:00","null"
"L02-1122","L02","용유초교3거리","37.447304","126.412004","1122","","","","{}","","-1","1;1;1;1;1;2;3","2026-06-23T22:43:07.334182+00:00","2026-06-23T22:43:05.98+00:00","null"
"L02-1123","L02","용유공업사","37.449386","126.417358","1123","","","","{}","","-1","1;1;1;1;1;2;3","2026-06-23T22:43:07.334182+00:00","2026-06-23T22:43:05.98+00:00","null"
"L02-1124","L02","구연도교3","37.452531","126.420844","1124","","","","{}","","-1","1;1;1;1;1;2;3","2026-06-23T22:43:07.334182+00:00","2026-06-23T22:43:05.98+00:00","null"
"L02-1125","L02","마시란로입구3","37.448088","126.394146","1125","","","","{}","","-1","1;1;1;1;1;2;3","2026-06-23T22:43:07.334182+00:00","2026-06-23T22:43:05.98+00:00","null"
"L02-1126","L02","남리입구3","37.444472","126.413612","1126","","","","{}","","-1","1;1;1;1;1;2;3","2026-06-23T22:43:07.334182+00:00","2026-06-23T22:43:05.98+00:00","null"
